组播频道,#genre#
CCTV12,http://183.184.61.177:8083/rtp/226.0.2.164:9224$(山西太原2)
CCTV13,http://183.184.61.177:8083/rtp/226.0.2.165:9232$(山西太原2)
CCTV14,http://183.184.61.177:8083/rtp/226.0.2.166:9240$(山西太原2)
CCTV16,http://183.184.61.177:8083/rtp/226.0.2.169:9264$(山西太原2)
CCTV17,http://183.184.61.177:8083/rtp/226.0.2.170:9272$(山西太原2)

CCTV1,http://1.83.163.75:8888/rtp/239.112.205.59:5140$(陕西西安1)
CCTV2,http://1.83.163.75:8888/rtp/239.112.205.78:5140$(陕西西安1)
CCTV3,http://1.83.163.75:8888/rtp/239.112.205.221:5140$(陕西西安1)
CCTV4,http://1.83.163.75:8888/rtp/239.112.205.202:5140$(陕西西安1)
CCTV5,http://1.83.163.75:8888/rtp/239.112.205.222:5140$(陕西西安1)
CCTV5+,http://1.83.163.75:8888/rtp/239.111.205.13:5140$(陕西西安1)
CCTV6,http://1.83.163.75:8888/rtp/239.112.205.223:5140$(陕西西安1)
CCTV7,http://1.83.163.75:8888/rtp/239.112.205.83:5140$(陕西西安1)
CCTV8,http://1.83.163.75:8888/rtp/239.112.205.224:5140$(陕西西安1)
CCTV9,http://1.83.163.75:8888/rtp/239.112.205.85:5140$(陕西西安1)
CCTV10,http://1.83.163.75:8888/rtp/239.112.205.86:5140$(陕西西安1)
CCTV11,http://1.83.163.75:8888/rtp/239.112.205.213:5140$(陕西西安1)
CCTV12,http://1.83.163.75:8888/rtp/239.112.205.88:5140$(陕西西安1)
CCTV14,http://1.83.163.75:8888/rtp/239.112.205.91:5140$(陕西西安1)
CCTV15,http://1.83.163.75:8888/rtp/239.112.205.214:5140$(陕西西安1)
CCTV16,http://1.83.163.75:8888/rtp/239.111.205.134:5140$(陕西西安1)
CCTV17,http://1.83.163.75:8888/rtp/239.112.205.211:5140$(陕西西安1)

CCTV1,http://1.83.163.43:8888/rtp/239.112.205.59:5140$(陕西西安2)
CCTV2,http://1.83.163.43:8888/rtp/239.112.205.78:5140$(陕西西安2)
